,Casos-2020-09-05,Obitos-2020-09-05,Casos-2020-09-19,Obitos-2020-09-19
AGUA CLARA,75.0,3.0,122,3.0
ALCINOPOLIS,9.0,3.0,9,3.0
AMAMBAI,157.0,12.0,175,13.0
ANASTACIO,458.0,15.0,531,15.0
ANAURILANDIA,30.0,1.0,30,1.0
ANGELICA,61.0,3.0,83,3.0
ANTONIO JOAO,50.0,,56,
APARECIDA DO TABOADO,630.0,22.0,719,22.0
AQUIDAUANA,1624.0,48.0,1713,56.0
ARAL MOREIRA,51.0,1.0,71,2.0
BANDEIRANTES,59.0,2.0,64,2.0
BATAGUASSU,624.0,7.0,695,8.0
BATAIPORA,117.0,5.0,129,6.0
BELA VISTA,23.0,3.0,40,4.0
BODOQUENA,14.0,2.0,19,2.0
BONITO,398.0,6.0,436,7.0
BRASILANDIA,89.0,5.0,91,6.0
CAARAPO,343.0,5.0,394,5.0
CAMAPUA,36.0,1.0,39,1.0
CAMPO GRANDE,22614.0,593.0,25256,673.0
CARACOL,14.0,,25,
CASSILANDIA,395.0,10.0,522,16.0
CHAPADAO DO SUL,544.0,11.0,662,12.0
CORGUINHO,32.0,,32,1.0
CORONEL SAPUCAIA,49.0,2.0,73,2.0
CORUMBA,2856.0,113.0,3404,128.0
COSTA RICA,312.0,9.0,335,9.0
COXIM,450.0,12.0,487,13.0
DEODAPOLIS,120.0,2.0,131,2.0
DOIS IRMAOS DO BURITI,473.0,13.0,473,13.0
DOURADINA,130.0,3.0,131,3.0
DOURADOS,5466.0,110.0,6072,116.0
ELDORADO,119.0,2.0,132,2.0
FATIMA DO SUL,410.0,16.0,453,17.0
FIGUEIRAO,13.0,,17,
GLORIA DE DOURADOS,76.0,1.0,113,2.0
GUIA LOPES DA LAGUNA,300.0,9.0,308,10.0
IGUATEMI,295.0,7.0,303,7.0
INOCENCIA,48.0,1.0,64,2.0
ITAPORA,285.0,6.0,308,7.0
ITAQUIRAI,268.0,8.0,276,9.0
IVINHEMA,217.0,5.0,248,8.0
JAPORA,,1.0,3,1.0
JARAGUARI,30.0,1.0,31,1.0
JARDIM,138.0,12.0,163,14.0
JATEI,27.0,1.0,27,1.0
JUTI,182.0,,185,
LADARIO,605.0,16.0,665,19.0
LAGUNA CARAPA,31.0,4.0,38,4.0
MARACAJU,319.0,8.0,359,9.0
MIRANDA,874.0,15.0,967,15.0
MUNDO NOVO,138.0,6.0,141,7.0
NAVIRAI,679.0,37.0,735,40.0
NIOAQUE,202.0,4.0,205,4.0
NOVA ALVORADA DO SUL,417.0,9.0,460,9.0
NOVA ANDRADINA,348.0,17.0,382,17.0
NOVO HORIZONTE DO SUL,19.0,1.0,19,1.0
PARAISO DAS AGUAS,53.0,3.0,58,3.0
PARANAIBA,418.0,13.0,489,14.0
PARANHOS,21.0,1.0,24,1.0
PEDRO GOMES,19.0,2.0,21,2.0
PONTA PORA,604.0,34.0,706,36.0
PORTO MURTINHO,108.0,6.0,111,7.0
RIBAS DO RIO PARDO,108.0,6.0,115,6.0
RIO BRILHANTE,967.0,10.0,1047,13.0
RIO NEGRO,26.0,3.0,28,4.0
RIO VERDE DE MATO GROSSO,154.0,9.0,175,11.0
ROCHEDO,68.0,1.0,91,1.0
SANTA RITA DO PARDO,45.0,1.0,47,1.0
SAO GABRIEL DO OESTE,768.0,15.0,830,18.0
SELVIRIA,11.0,1.0,21,1.0
SETE QUEDAS,25.0,2.0,26,4.0
SIDROLANDIA,1681.0,31.0,1756,35.0
SONORA,236.0,7.0,241,9.0
TACURU,166.0,2.0,202,2.0
TAQUARUSSU,13.0,,20,2.0
TERENOS,256.0,14.0,267,15.0
TRES LAGOAS,1383.0,48.0,1629,53.0
VICENTINA,100.0,6.0,103,7.0
